,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-1.2205787506319434 -0.3222734337115547 0.7563279778423418,0.2883920727644028
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-7.094561792460729 -6.472273359474585 0.7449198122974763,10.328973051746663
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.3641502050621378 -0.6260195053403843 1.4593288323978517,2.5597169074473367
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.170014194698992 0.0384904058172533 -0.26900795915952586,1.3968492763116727
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,4.061669290343875 1.1936143932038275 4.859433300307499,5.057334796549817
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.1693749246288345 -1.2015015961520716 1.8659428184932478,2.7932761773797004
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-3.7408819370769013 0.06970218660831587 0.24872014940171347,3.1883613106744284
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-2.967414272695528 -1.5924396193910453 -1.4695652510889232,3.0408662346856614
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,3.5674567651282834 -4.165808618321264 0.11021447195096899,6.5099700048181095
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.6771951392004705 -0.26101783520083993 -1.8719314212253848,1.1706490274081474
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.17143716365197892 -0.3674577976713428 1.095739442647942,0.23232167605189552
11,0.8969754088827306 0.5653212772241771 0.944461869046135,1.155576415120255 0.7199523150665149 1.2149394108593223,0.40489917129646374
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.4247571660336464 -0.2977125188079206 -2.017395798340726,2.3206998709136912
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-1.0563209945737586 -1.6545258763440023 0.52327633317261,3.349597932236789
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.093608562369548 6.429111640563556 2.637888307361717,8.119023248254546
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,2.118943401859265 -0.7004840868605294 -2.5483422901087467,2.089114016180031
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,43.17412944924787 30.772120712693095 25.730177641091974,57.704094825400844
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.8309499792245034 -0.4391488695491296 1.1205688925702117,2.532669287172327
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,2.3812027089445214 2.1159751526144954 -0.9716348197069155,4.319817817222203
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.9212092582116543 1.0535532950600897 1.045006560012956,2.5827140734215717
