,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-1.161876008806839 -0.3067739551515155 0.7199529991730872,0.22165993873065662
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-7.124513554241533 -6.499597949141171 0.7480647085456769,10.369635975874264
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.3561113456408711 -0.6121997059047545 1.427113172019339,2.5237527241740825
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.20668321237532677 0.0467920971776778 -0.32702815933728097,1.4659181989722874
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,1.1190655115427062 0.3288629885970581 1.3388643494300518,0.39533356255268914
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.1622744064538075 -1.1511323697775238 1.7877189555140822,2.6999682022472284
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-3.615261169810138 0.06736155081462128 0.24036799701409725,3.062567619073619
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-3.0737041533220295 -1.6494792510351408 -1.5222036428862395,3.172435236120574
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,3.6632899989153502 -4.277715485738452 0.1131751831669928,6.657332423856546
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.893498667419805 -0.2946806317130149 -2.1133495851181716,1.494358530521692
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.1632856196833795 -0.34998580775669813 1.0436389058996476,0.1774939081827898
11,0.8969754088827306 0.5653212772241771 0.944461869046135,1.591149632051192 0.9913250618681739 1.6728884141791078,1.0926858232341556
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.500522431122329 -0.30701500411394334 -2.080432431283275,2.4196946586385826
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-1.0238607545335279 -1.603683085776755 0.5071963011847874,3.2873009226517347
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.0571898270553668 6.215012992107761 2.5500428392848895,7.884757083750712
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,2.2177154575700717 -0.7331363291012674 -2.6671302702067368,2.2469974533913715
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,44.21485913160771 31.513895007239242 26.350413878511752,59.12467010418322
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.7989572311036895 -0.42224101766599037 1.0774254071278322,2.476432712861127
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,2.4748643625678364 2.1992044094414234 -1.0098528695982159,4.4507774938186335
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.8643112256383909 0.9884810987424258 0.9804622485431401,2.4749039091883724
