,original position,computed position,offset
0,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.750153130036649 -0.3964485315370972 1.0116111477224499,2.39065191143197
1,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,3.4264439603980614 -4.001144434306216 0.10585796454670689,6.29313519101481
2,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.1032314827447882 6.485682914353351 2.661099710430397,8.180923398900875
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.102206055764431 0.023138965368855208 -0.161717334976721,1.269146851135136
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,6.830765197355033 2.007376542335003 8.172415205128207,9.450908967784292
5,0.8969754088827306 0.5653212772241771 0.944461869046135,0.9706173082774812 0.6047182765194123 1.0204787889910216,0.11293283409993134
6,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.8881986384978001 1.0158002581018832 1.0075597868248118,2.520164972376645
7,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,1.939304746729745 -0.6410988200370541 -2.3323002847379866,1.8019761567022101
8,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.17606205212584844 -0.37737076693005966 1.1252993852573177,0.26356411315696493
9,0.9685122892509723 0.5731579252684238 0.5017990501803438,41.12477520680453 29.311454870995732 24.508838626727403,54.90676745242232
10,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.282309041846129 -0.28022268912707876 -1.898879086134244,2.1345780654471227
