,original position,computed position,offset
0,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.7630051946871084 -0.40324072096333546 1.0289426649168385,2.4132406003517466
1,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,3.447126169333606 -4.025295567705171 0.10649692918921985,6.324938133794483
2,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.1138100760628933 6.547872403154404 2.6866162879174107,8.248970993815183
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.10519101424633344 0.023814745785422725 -0.16644033819897636,1.27476778476485
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,6.869733527713275 2.0188282772424455 8.219037416013375,9.51273974464837
5,0.8969754088827306 0.5653212772241771 0.944461869046135,0.9738259615693271 0.6067173458457534 1.0238522736771394,0.11799355191294221
6,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.8960037785277084 1.0247267109394056 1.0164138256442956,2.534954115370247
7,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,1.940640991183329 -0.6415405581104117 -2.333907315981956,1.804111989019146
8,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.17648166085748387 -0.37827015477062975 1.1279813115557822,0.2664019132804238
9,0.9685122892509723 0.5731579252684238 0.5017990501803438,41.38916566718365 29.499897701594893 24.666405521507798,55.26765509319541
10,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.2769508590393546 -0.2795648095991888 -1.8944210828205306,2.127577118765468
