,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-1.2838035748051693 -0.33896689259043944 0.7955050513344176,0.36198756420317985
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-6.632131035397368 -6.050403995714381 0.6963651809010332,9.701172759421565
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,0.5496019010378765 0.9448340422138622 -2.2025249179480344,1.528372322436446
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.021589354012756478 0.004887727161573854 -0.03416013629230647,1.1173652443286926
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,11.957426653928291 3.513963235199665 14.306018810104582,17.58547308083716
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.15746752020156732 -1.1170335708127752 1.7347632130903632,2.636800880715304
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-4.036797820550607 0.07521585543753481 0.26839471919191404,3.4847205630080254
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-2.413121141288082 -1.2949825533752037 -1.195060294929327,2.354823373696006
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,3.124373685446053 -3.648409408325179 0.0965256816242193,5.828643279161136
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-2.220943765903581 -0.3456401228036607 -2.4788137784321456,1.9857537713700777
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.1849974082002262 -0.39652277688261245 1.182409651644337,0.3240767152883553
11,0.8969754088827306 0.5653212772241771 0.944461869046135,0.30076035673105866 0.18738104401881794 0.31621068571103284,0.9449924643347684
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.141422664640375 -0.26292461127779954 -1.7816617460229214,1.9504979616220361
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-1.0889703776856063 -1.7056649235490788 0.5394500621459786,3.4122627618894743
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.0319282586143277 6.066505153643801 2.4891095233716967,7.722260263625695
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,1.6610994077459065 -0.5491292031672396 -1.9977172892485944,1.3573203659414927
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,37.799787704416495 26.94158851591482 22.52726956714918,50.36822740592899
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.7038513027092348 -0.3719784724032499 0.9491713033642134,2.3092773569551768
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,2.114388117273552 1.8788794008710397 -0.8627628002439826,3.9467657007512438
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.8827447567609564 1.0095628532739356 1.0013729816643857,2.5098310481596693
