,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-1.2919034952685857 -0.34110554130866766 0.8005241428609641,0.37149286677947607
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-6.729953724718067 -6.139646320267159 0.7066364367585333,9.83397740948795
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,0.5597158798350549 0.9622212300160834 -2.243056601478089,1.5736190838815394
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.033206567432746595 0.007517809077926396 -0.05254167719108365,1.139234089464974
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,12.156237494342625 3.5723883465713997 14.543878652772802,17.900932470335494
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.15967202806578185 -1.1326717753662998 1.7590494858462458,2.6657703303906954
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-4.088254380780602 0.07617462260092081 0.27181591332831684,3.536258690782651
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-2.4511893652252925 -1.3154115674819524 -1.21391298414888,2.4019344309345274
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,3.1736934808393897 -3.7060013687132436 0.09804938760410406,5.904482043025745
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-2.340093342387994 -0.3641830840799997 -2.611797610088845,2.1647801239380584
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.18696509136825679 -0.4007403018814934 1.1949860849678748,0.3374208826871605
11,0.8969754088827306 0.5653212772241771 0.944461869046135,0.07481117446031406 0.046609187883038306 0.07865429151654232,1.301783016212652
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.180728582123009 -0.26775060534505407 -1.8143642342927477,2.001854373822572
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-1.1054893774389487 -1.731538793976367 0.54763318229886,3.4439698756795836
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.0404849880268676 6.11680849851897 2.509749172002182,7.777302023450654
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,1.6895184548551865 -0.558524022418345 -2.0318953893005474,1.402739815097442
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,38.48508868308006 27.430032978118785 22.935683497981433,51.30364912299827
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.7033127965312679 -0.37169387719871055 0.9484451064972855,2.308330992743163
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,2.1379435966760916 1.8998111799826927 -0.8723744657676379,3.979699355092006
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.8983603384788276 1.0274218222611573 1.0190870734281534,2.539419335635777
