,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.120068727851152 1.299348572612648 -0.5326964208211725,0.6646180809671025
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-3.16111510268691 -54.831772284578975 -7.182029276364982,56.38990327733987
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,0.06597473569193642 -0.06148082960112457 0.06399173254274595,0.5367740581623607
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,-0.003980047623685418 -0.06852908965172902 -0.0079330543893625,0.9211782546239407
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.15583827677779616 0.31285196880524274 -0.26506952474361534,1.1773154366789802
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-8.017103320686857 -8.134897947274293 -4.714538344605692,13.592345838342315
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,-0.5564528411473308 0.0839501986417494 0.28065674503199006,0.16774140963372866
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-2.7610391278957054 -0.21521813890100674 20.795847913721275,20.002648840477594
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.7283730708743804 0.9195301696714717 0.9126849253718231,0.2877812641274725
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,0.6186735038593144 -0.39921682371214784 1.0310574081965338,0.0730276258516855
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-2.116963798241187 -1.9114358112432281 0.8166858048803155,3.829891805939689
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,1.209092801534541 0.4701805788447441 -0.5359987287798326,0.4994551733934769
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.24217158325601798 -0.5525046807214797 -0.524169887403585,0.4949736522518444
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.2160568444507013 -1.0504806177318478 -0.5552586755239396,0.5217341433901341
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.6278020487689544 -0.34053609237711 0.15077279578315333,0.2055344206149008
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,4.333913756749113 -0.1840897875679736 1.2462823800139369,3.78473732414108
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,0.23183770845723167 -0.350690739575344 0.4682628846571873,0.3728814170148852
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.7095299006310287 1.4079619366902345 1.234225029910744,0.6760963265016231
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.292306891805262 -1.2182884910808367 -2.40022330828198,1.7344920538695254
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.5049279006654812 0.3665469495897291 -0.28948358576005817,0.1380843280358348
