,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.002321730016517 1.1627548174603408 -0.47669681762781935,0.48063607517260837
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-2.468717269711166 -42.821643239992234 -5.6089067086050735,44.2574151291835
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.3666143123387394 0.3416421730202758 -0.3555949830715381,1.2618215946347189
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.030990962968271005 0.5336073033416344 0.06177137010696372,1.528257453424788
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.49132098711984745 0.9863477786972058 -0.8357011078742738,2.121636243116716
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-9.573405302767721 -9.714066543829677 -5.62973739803107,15.990943746605863
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,0.3172395690082767 -0.047860883916695574 -0.16000533782815335,1.147968724370904
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-1.9332718655048684 -0.15069513817456906 14.561194473747461,13.713310078448878
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.6739698484949417 0.8508491512406464 0.8445151879901833,0.1777509396884315
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,0.1124691742565222 -0.07257396063049615 0.18743678949810655,1.0160424348694461
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-2.083996214493327 -1.8816689251783 0.8039675157482811,3.7836995395929542
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,1.3650783366793757 0.5308387591868345 -0.6051481343834064,0.6780973841776428
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.7225485518510563 -1.6484653218961656 -1.5639249988591721,1.1210502158389475
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.2654569728970313 -1.2906668408448774 -0.6822153103001202,0.7961526474647209
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.4670027197478561 -0.2533143713440554 0.1121552658720834,0.03945856498819641
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,4.110982299233329 -0.17462042408735753 1.182175071228643,3.5526451665935794
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-0.10432842599337325 0.1578130370327441 -0.21072124130494116,1.2845212799708314
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.49673879576780766 0.9857080248435017 0.8640755724587407,0.07680757619335589
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.6351109621034472 -2.647041165917451 -5.215094742280878,4.909361724446888
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.187429280921539 0.8620014465464678 -0.6807730086307627,0.8057583286041353
