,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.0895277168611661 1.263919122571562 -0.5181713413880221,0.6166154575965667
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-2.6635058230700706 -46.200388162105185 -6.051464808351367,47.67058255089284
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.268149676423092 0.24988451095499845 -0.2600898994914446,1.0967883833092182
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.021801958189011338 0.37538956529734596 0.0434557916037903,1.3687335272294234
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.43546596415401195 0.8742164444458671 -0.7406957940436526,1.9644140030588875
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-10.10053485134398 -10.248941162645643 -5.939721237571329,16.803366623053986
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,0.24946679371828018 -0.03763622959312917 -0.1258229505562034,1.0714629449956257
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-2.126640891723518 -0.1657679133204958 16.01762905297495,15.182492886567447
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5832168777580409 0.7362786132610994 0.7307975457044148,0.031630441101319934
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,0.22687590816604233 -0.14639818720190834 0.37810264121010123,0.7824604199097465
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-2.4530987316417647 -2.21493667868627 0.9463604969372672,4.300877300054487
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,1.297746339054195 0.5046553284543044 -0.5752994204654182,0.6008059720325031
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.559260718275105 -1.2759307282720753 -1.2104955659376493,0.5907590291995692
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.2650351990433153 -1.2886161524738555 -0.6811313659706526,0.7938046628806573
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.48912792656015003 -0.2653156565989667 0.11746885045644606,0.054840412552010144
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,4.365571827081165 -0.18543451378297127 1.2553861364462462,3.8176969481372276
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-0.030350135332221875 0.04590931939715992 -0.061300821229537124,1.0837815176616923
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.5093409834220538 1.0107152874273986 0.8859970382358274,0.11194112803272482
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.5577472403191088 -2.3246015159490523 -4.579837027023448,4.192806729647877
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.9465131369596768 0.6871109769175278 -0.5426517657173702,0.4789394898794405
