,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9523378799557932 1.1047704789861423 -0.45292486742143157,0.4038916534755472
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-2.319886735454578 -40.24007259221258 -5.270764875889364,41.649543648516264
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.4814759599310352 0.4486799551237282 -0.4670042332194501,1.4543372883688328
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03434933459492011 0.5914322773235663 0.06846529623371427,1.58656057496403
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.5556924009241183 1.11557612977913 -0.9451921803949358,2.3028308656943826
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-8.715266009831437 -8.843318682246089 -5.125099944859978,14.668364116054676
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,3.986345335541523 -0.6014067285258348 -2.010583150478191,5.293529870062921
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-1.7776908342719924 -0.138567870707788 13.389374983364265,12.531252279486576
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.6128329683415227 0.7736672673563735 0.7679078680170476,0.058698083297160523
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,0.4488176491783241 -0.2896124615216557 0.7479821896815775,0.3321871287855266
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.9490936274183732 -1.7598635186906424 0.7519245719826484,3.5946846363526923
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,1.2464621589457312 0.484712421294182 -0.5525648087716213,0.5421046168104648
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.6657968112021057 -1.5189885190192225 -1.4410883179160185,0.9356361230647112
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.2526226106984558 -1.2282654447454815 -0.6492314399039125,0.7247325568402049
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.5018142799228106 -0.27219706326067944 0.1205156021650969,0.06660488422670295
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,3.6592753902687334 -0.1554334643134618 1.052279924908193,3.082407630685648
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-0.12153625478702242 0.18384256538811072 -0.24547739725222803,1.3312173647511565
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.45530898114172835 0.9034964055928197 0.7920085402581339,0.043877292671289
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.6204903924838961 -2.5861049642749263 -5.095040672517156,4.773942839053318
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.1686594556100318 0.8483756948239004 -0.670011954769204,0.7802546428881747
