,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9687330439299495 1.123789876972943 -0.4607222864106795,0.4289268408851624
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-2.26353856201003 -39.26267375838422 -5.142742257856743,40.662187178688775
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.5270561531986 0.4911554279858647 -0.5112144222597551,1.5307326996621784
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.02246520435577761 0.3868094427262006 0.04477777777380026,1.380247564924893
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.5638222023649355 1.1318970519514269 -0.9590203787601554,2.325714892954435
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-8.315382417099778 -8.437559633430094 -4.889944371094644,14.052057510522578
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,3.8028709784114265 -0.5737265594481092 -1.918044642160401,5.086194257090737
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-1.708068955773745 -0.1331409678559604 12.86499052894308,12.002293045438165
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.6618866495315577 0.8355947899287486 0.8293743844855866,0.15350489454136293
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,0.5086989778051377 -0.3282526063879468 0.8477781032097688,0.21379425394565357
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.8708430525856559 -1.689209995418355 0.7217369354521137,3.4850483289171805
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,1.2896918574024343 0.5015231777703264 -0.5717288161901755,0.5915755242802433
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.6313216829030854 -1.4403349069909877 -1.3664683981229622,0.823414623159704
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.21859223220609295 -1.0628078166328816 -0.5617745350449725,0.535775449724053
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.5839372961444674 -0.31674271438300805 0.1402382468715994,0.1555984500388255
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,3.5179719043359476 -0.14943137701593034 1.0116459726339155,2.935318332768069
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-1.7101253115932649 2.586831599915473 -3.4540895735244868,5.642946321455971
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.513351113144821 1.018672823826956 0.8929726462723964,0.12317265177505655
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.606233378112867 -2.5266840029074795 -4.977971868601806,4.641891631146025
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.1746755493238998 0.8527430130021153 -0.6734610816213026,0.7884286098159509
