,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9067402136131825 1.051874383234586 -0.43123895382119526,0.33527893257953567
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-2.1254966601042393 -36.86823955236785 -4.829112115123315,38.24335879520218
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.5480623525597281 0.5107307783066182 -0.5315892381215973,1.5659404761571678
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.027401856006164085 0.4718094918500926 0.054617540949193744,1.4659490664590877
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.5320595255605638 1.0681321273242048 -0.9049943857935835,2.2363083026266843
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-7.686377788170332 -7.799313092250956 -4.520051864611605,13.082627914161074
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,3.4535331047973274 -0.5210231105403424 -1.7418499617221155,4.691426765314971
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-1.5895090156623448 -0.12389942926232328 11.97200989049205,11.101533950332541
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.6291043278785761 0.7942089466058976 0.7882966291596666,0.08886918903932324
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,0.5176632300778177 -0.33403704728759687 0.8627175804251872,0.19651849233260432
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.7476613785861759 -1.5779875630049558 0.6742157049708221,3.3124632081259615
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,1.259118631455853 0.4896341506795434 -0.5581755056243791,0.556575082742996
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.6059703333051633 -1.3824968273652252 -1.3115965015709063,0.7411931662294996
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.21431422781388776 -1.0420079169212635 -0.5507802105710562,0.5120874804075194
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.8024116582756539 -0.43524886725495615 0.19270699948247652,0.40694137411390585
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,3.24106313529227 -0.13766924252731116 0.9320166723985205,2.6470915880590233
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-1.5820164493519093 2.393046939324486 -3.1953369064864843,5.2952197166695605
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.4871505124550575 0.9666814300085999 0.8473967838017056,0.0504809864389021
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.5286280101739003 -2.2032372103182567 -4.3407299211933195,3.9231033774742907
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.0660530215422934 0.7738896635187575 -0.6111859750266819,0.6409289673725922
