,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9939556892549077 2.0660994279667677 -0.5325138941592138,1.3323324937455296
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.6968471295502435 2.1233107065564685 -0.3288244614344429,1.4224078582659485
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.9613784611401364 1.9042418001559442 -0.6732113157741318,2.8356912091328734
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,-0.7031044642268671 2.1652649462006295 -0.3658648285415956,3.218093753352397
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.861490499337623 2.076188036165574 -0.6329480494285287,3.0331664132524048
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-0.5773095780067332 1.9114448524240542 -0.33673776582746784,1.9813717735322496
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,-0.9053467739080306 1.7773024157554824 -0.3024132347066617,1.850340096270489
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.7687742479670614 1.8423620247807022 -0.4652461623107192,2.38138238394269
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.8765093594904305 1.9188123457276376 -0.13909721955953933,1.470306670451045
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,-0.8657579590914137 1.7844467409917273 -0.6801062686037653,3.148189914864447
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.6098633455448695 1.9076656938464105 -0.486295553108427,1.921093923445232
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5124978226967788 1.6264819733887843 -0.40408147287405594,1.9283115830673123
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.6242077159288341 1.9266485265649578 -0.18957854135194893,2.851508973540727
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.6281728334201104 2.0324671325940455 -0.24086205535514646,2.65584758492275
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.6508419006675794 1.8002859086132457 -0.41462186204854523,2.154078382036438
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,-0.9623176216828006 1.7533214925454952 -0.47394293253731795,2.5145920165056443
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-0.8454020876443596 1.9344761810320763 -0.6887618773621464,3.128922309266844
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.8175585923098447 1.9089005206281093 -0.14892464975627562,1.4090332104589203
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.6403243023478399 1.7583876991610203 -0.17993924422063884,2.395105909552137
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,-0.5520886590301451 1.831689978837941 -0.4944250264235689,1.767762102294101
