,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.0664339330782113 1.2371289138562684 -0.5071881082537488,0.5804263311131569
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.510778271070713 -26.205515282068497 -3.4324766484153564,27.4720058092627
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.207932427851475 1.125653433659546 -1.171625593374356,2.6719263386113203
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.02273413117921899 0.3914398673180311 0.04531380430384047,1.3849161745140084
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9260742143524572 1.8591333734589561 -1.575184588480369,3.3453955217480504
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-3.511517975040407 -3.563112414088943 -2.064983508243195,6.648405847730781
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,7.266363582408496 -1.0962522266731598 -3.664917851893592,9.000203487344358
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.8408914723979214 -0.06554600978984881 6.333503569454985,5.414720008706733
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.6269679240506464 0.7915118565390937 0.7856196169989661,0.08477862951642309
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.760732480278627 -1.7814418186986312 4.600930309902768,4.410194813111069
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.2780030201342036 -1.1539265534871495 0.49303012456090256,2.6545009472488434
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.3565003407989765 -0.13863248245500615 0.158038927396897,1.330664039399856
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.25259943568554216 -0.5762954046359959 -0.546740521663619,0.4621633582653212
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.16388053090320484 0.7967964253810204 0.4211673403118528,1.6085228014459543
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.1080870706508246 0.6010551284325311 -0.2661179362838854,1.816412692748355
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,1.0261704472284636 -0.043588200006204135 0.2950908160736358,0.3503021820095895
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-3.470422870815805 5.2495565596487 -7.009516421131608,10.420966148959812
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.4403108699906754 0.8737347710173755 0.7659193730961165,0.0850067307995709
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.024626529420053 -0.10263944576340116 -0.20221613507314332,0.7470013417132823
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.5982264193713862 0.434276000386522 -0.3429731824044324,0.056598101237206086
