,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.0563730235810704 1.225457640416312 -0.5024032139467589,0.5646947229036573
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.5431508132912801 -26.767039872489864 -3.5060268161333408,28.039250947380467
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.2190139970875526 1.1359801755975154 -1.1823740837968144,2.6904997817467833
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.022240685115353667 0.3829436349243073 0.04433026470005159,1.3763498801102731
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9333853815119657 1.8738108524930572 -1.587620349734681,3.365975298203579
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-3.6115970234502637 -3.6646619155620965 -2.123836000514618,6.802640798955604
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,7.431125565387987 -1.1211093217887453 -3.748018446281243,9.18639949296444
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.8620159986267328 -0.0671926294172915 6.492611214929964,5.575149647224358
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.630263064422534 0.7956717865343305 0.7897485792913191,0.09109824840179583
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.826348184931915 -1.8237822341745085 4.710282913424306,4.544551778756407
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.311577194047837 -1.1842411381790297 0.5059824250530639,2.7015323462706653
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.37193318227037936 -0.1446338599564138 0.16488040672721316,1.3485349977640626
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.26599839610232956 -0.6068645913570102 -0.5757419902858383,0.4203808477610971
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.16142588370928984 0.7848617916639851 0.4148589812629323,1.5948158807293964
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.8946303183721936 0.4852706571091105 -0.21485421170230887,1.5682812514033126
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,1.074405712221112 -0.045637068577239606 0.30896159528838724,0.39912091291267443
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-3.536303263976652 5.349210942686021 -7.142580809790101,10.599787572525033
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.4449784366857378 0.8829968982903291 0.774038590677645,0.07205866750936557
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.027756776226416174 -0.11568581506000818 -0.22791957059225365,0.718065304322693
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.6041851207445106 0.43860165521557026 -0.3463894052704931,0.057338408391892366
