,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9369931011604714 1.0869695923717926 -0.44562700387135956,0.3806141317569991
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.607144808115885 -27.87706087388293 -3.6514206817193178,29.16058036236192
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.9886511354421795 0.921308609357688 -0.9589352404943471,2.304396388964388
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.022534029325534943 0.3879944819440003 0.04491496010930346,1.3814423763055532
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.8288765734773665 1.6640049753545854 -1.409858501682728,3.071799650009318
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-3.7444204796795875 -3.7994369356920896 -2.2019441715594374,7.007339911167463
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,7.4885845468048045 -1.1297779681627103 -3.7769988908127994,9.251333389841559
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-1.0028417879316873 -0.0781697517540462 7.553295819913299,6.644749296784337
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.6081777417100362 0.7677903047042935 0.7620746551476504,0.05076722815284747
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.1543362345308092 -1.3901472479302284 3.590333706717659,3.168581737059087
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.2983903780487822 -1.1723345801368896 0.5008951933077955,2.6830598916913915
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,0.32670718471311133 0.12704680155748885 -0.14483142689065379,0.5425292517665109
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.3314214035926692 -0.7561245391151084 -0.7173472521780306,0.2298435456117937
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.0349056925920327 0.16971345485332803 0.08970643205575589,0.8888920572215363
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.3000316527229996 0.16274493975940763 -0.07205553278010228,0.8772656453694538
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,1.5428671274265875 -0.06553570229478191 0.44367475301511466,0.8815471642268013
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-3.5748166969080257 5.407468524544326 -7.2203697567328,10.704325922887818
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.45955687543657653 0.911925752224879 0.7993977390198128,0.03278567928574301
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.10563895284343246 -0.4402863020579269 -0.8674344806287715,0.046680162635533214
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.818420978710156 0.5941238597254596 -0.46921439529489045,0.30636470501840085
