,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.8274341896319932 2.1199359885685767 -0.8691142140632712,1.7912727796270376
1,0.26956625755571717 -0.5228633344389313 0.4467468501274625,0.4742469134004137 -0.9520708495043395 0.8066593557461943,0.5963642121777525
2,0.7918994951613632 0.7817285834327583 0.5435132043400641,1.3166971362430613 1.3360432568165967 0.7742970108708275,0.797457513959443
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,-0.016554652886256422 -0.285040632439726 -0.03299683173692333,0.7029258458807726
4,-0.6811272275115059 0.07720323072144386 0.3926744057579181,-1.3822098818404487 0.20852943064472895 0.6971417839983346,0.775541000463418
5,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-8.204358120933486 -0.6395152708358736 61.794337497371984,61.36256387464459
6,0.05483025859207924 0.993675136159611 0.09796435930296266,0.029382989837101407 0.5096686945750916 0.0667579276242819,0.485678536030277
7,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.2189359150698524 1.5388382597084507 1.5273827097191417,1.2875852264933205
8,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.5402389101001257 -0.9938833352524773 2.566902782719485,1.9114832524967296
9,0.835165424436636 0.2522885243525461 -0.28668599449744936,1.204696599963527 0.46847102553605324 -0.5340498639362629,0.49444620274402495
10,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.4636167382381835 -1.0577228529188152 -1.0034783198481958,0.2949233850519616
11,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.18718880578958302 -0.9101225783346845 -0.48106880686831427,0.36257679647337593
12,0.668704012379401 0.4951625094534928 -0.2399175345503315,0.8315624043234167 0.750829164026266 -0.32080152341164714,0.313736376184117
13,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.7976588792527666 -0.4326708368080025 0.19156557316437928,0.4014376592627269
14,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.8623338044757483 -0.03662898151385913 0.2479771141119001,0.19006442198525775
15,0.35232496968990135 -0.5806566186339426 0.7359176352305428,0.7948998100544823 -1.2024101002867353 1.605528628394928,1.157010441052047
16,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.9939992026700308 1.9724511133571272 1.729058485844766,1.4787781012146677
17,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.24273709250582504 1.011689475851583 1.9931901831628047,3.222385276417041
18,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.8017718968150753 0.5820376387539731 -0.4596691990000358,0.28410588033471
19,0.38557998897974266 -0.36033437390778644 0.37490237990348296,0.4546556240729118 -0.4236865014714424 0.44099003640699647,0.11468440945696494
