,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.4332310677887519 1.6626361363808162 -0.6816341185469067,1.1615436967940547
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.16584216588460846 -2.8766494036351054 -0.37679212934278467,3.9055732083489154
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,0.5009754102126016 -0.4668511894227857 0.48591758837065646,0.19231825638762257
3,0.26956625755571717 -0.5228633344389313 0.4467468501274625,0.37325060068754623 -0.7493164561190528 0.634872005647161,0.3121258295442105
4,0.7918994951613632 0.7817285834327583 0.5435132043400641,1.1271951070010782 1.1437568901550714 0.6628584341798418,0.507672065483914
5,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,-0.03179673547577659 -0.5474812218538498 -0.06337744061965166,0.43846514919452534
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,-1.142892037852684 0.17242433951092576 0.5764376341494595,0.506026406166125
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-4.085792483510117 -0.31848033059457076 30.77374682439178,30.06837604661331
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.981327706439388 1.2388712165350673 1.2296487065917399,0.8029424682009664
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.1918087598342317 -0.7690487868081217 1.986222528223934,1.1986889104707088
10,0.835165424436636 0.2522885243525461 -0.28668599449744936,1.065560615112799 0.4143651390298885 -0.47236997392875496,0.33738600019772413
11,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.4446283934676311 -1.0144017116691726 -0.9623788712401449,0.24220891034205444
12,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.15271955209896898 -0.7425311141451102 -0.3924840078113415,0.1778234623316875
13,0.668704012379401 0.4951625094534928 -0.2399175345503315,0.7627905766606876 0.6887341323075369 -0.29427061368400353,0.22198313441321654
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.6572300578180647 -0.35649860672008266 0.15784021967475514,0.2392876943598296
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,1.1753138757466488 -0.04992330116743886 0.3379792622887057,0.5021519998131568
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,0.6309035454295459 -0.9543401391418153 1.274291037852392,0.7121034454423839
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.9196948214868711 1.8250045570637736 1.5998062485440936,1.2691046948335634
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.08931062935275008 0.3722324547316165 0.7333575097251419,1.801514649978922
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.7884219335485309 0.5723463772767654 -0.45201544243187874,0.2663091187704652
