,original position,computed position,offset
0,0.38557998897974266 -0.36033437390778644 0.37490237990348296,0.49457179223470243 -0.4608837574717391 0.47970644398864526,0.1815854717774127
1,0.26956625755571717 -0.5228633344389313 0.4467468501274625,0.35883035749489545 -0.7203672045824495 0.6103442253816395,0.271551025499215
2,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,-0.028163017916081143 -0.4849152980353682 -0.056134693355750054,0.5014962114849608
3,-0.6811272275115059 0.07720323072144386 0.3926744057579181,-1.115698287759657 0.16832170842826902 0.5627219895845292,0.4754689938892754
4,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-3.803634975249104 -0.29648664959550375 28.648567007044328,27.92447407558528
5,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.1441856748159007 -0.7383186252321137 1.9068557308695584,1.10134021754429
6,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.4396565163419149 -1.003058574927046 -0.951617458864127,0.22923477753169383
7,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.1547039240940855 -0.7521792432036433 -0.3975837757384187,0.18802892120275813
8,0.668704012379401 0.4951625094534928 -0.2399175345503315,0.7510933637250307 0.6781725574163991 -0.289758043478906,0.2067964197001442
9,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.6448110068147571 -0.34976219178166196 0.1548576632393088,0.22502626042042928
10,0.6794768871172749 0.004211576477306744 0.2799126914781669,1.1374982386847174 -0.04831702264317482 0.32710480451116125,0.4634327435019519
11,0.35232496968990135 -0.5806566186339426 0.7359176352305428,0.6129876772325165 -0.9272395906160363 1.2381047928325204,0.6635184585463627
12,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.9302180176981817 1.845886354581639 1.6181113152468647,1.2987990084040322
13,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.0764703120010839 0.3187160605243183 0.6279216481111124,1.6826216752081358
14,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.7666676654424234 0.5565541015789055 -0.439543357746834,0.237434962162561
