,original position,computed position,offset
0,0.38557998897974266 -0.36033437390778644 0.37490237990348296,0.4975400989411513 -0.463649876303578 0.48258553227709045,0.18656050107936326
1,0.26956625755571717 -0.5228633344389313 0.4467468501274625,0.35467967526687366 -0.7120345334712751 0.6032842181209569,0.25987301513650685
2,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,-0.02845463636469536 -0.489936430619374 -0.0567159489668716,0.49643721158710274
3,-0.6811272275115059 0.07720323072144386 0.3926744057579181,-1.110453984799625 0.16753051779596956 0.5600769334541851,0.4695786298298452
4,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-3.7519429133168227 -0.292457344377544 28.259227990646668,27.53170577705092
5,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.1354949075926737 -0.7327106584049659 1.8923720332931748,1.083578439780923
6,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.4393872205789139 -1.0024441875263608 -0.9510345798662172,0.22854464927777454
7,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.15483194435546627 -0.7528016849670568 -0.39791278341672315,0.1886907545814193
8,0.668704012379401 0.4951625094534928 -0.2399175345503315,0.7481920127908942 0.6755528876416491 -0.2886387555039042,0.2030585829840503
9,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.6423368381031713 -0.3484201385873832 0.15426346745002067,0.22218779778057407
10,0.6794768871172749 0.004211576477306744 0.2799126914781669,1.129336474110788 -0.04797033888550783 0.32475776579529625,0.45509084916246667
11,0.35232496968990135 -0.5806566186339426 0.7359176352305428,0.6102881540704278 -0.9231561402553788 1.232652329937289,0.65619835700195
12,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.9233861247865555 1.8323294274295079 1.6062272590207636,1.2795207901089871
13,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.07435274041220254 0.3098903599743203 0.610533605519305,1.6630149226865425
14,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.7632222453448048 0.5540529361151377 -0.4375680409481507,0.2328794223940759
