,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.0610777122361745 1.2309153684437015 -0.5046407291503656,0.5720483505631988
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.3085515589702026 -22.697750247404223 -2.973019109038072,23.92850572326354
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3848122680006805 1.2904850043817995 -1.3431889547780909,2.9683886533977595
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.028427597098271713 0.4894708642523197 0.056662054141616076,1.4837563099860924
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9973850166724524 2.0022928421349513 -1.6964790539408623,3.546124155077921
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.2162535386824618 -2.24881676601902 -1.3032902123795167,4.652297566806612
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,6.414272547770333 -0.9677000721523276 -3.235150801447049,8.037265493776964
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.6317696894057468 -0.049245334987917465 4.758420930960858,3.8269243633376115
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5976960504766156 0.7545577571215814 0.7489406144153914,0.035822127707455576
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,3.170473690859233 -2.0458390873897394 5.283789213633386,5.249208463541069
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.2211618232658923 -1.1026038528636035 0.47110183336701206,2.574878398457851
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.7716704454195636 -0.3000799080469813 0.3420865439417943,1.8117359914908604
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.1272855545054145 -0.2903968488248428 -0.2755040615259635,0.8647332903367034
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.23436700923977144 1.1395056762403897 0.6023151706572101,2.0022044289624006
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.6725194879842837 0.9072178913394099 -0.40167189594184205,2.4725892634993087
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.45012711573428593 -0.01911985557743666 0.129440852908649,0.27529520075301983
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-3.130389581875548 4.735203107950856 -6.322721465219553,9.49800248635548
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3974534835106495 0.7886903369262492 0.6913690841468236,0.20523035337957432
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.09457359773550827 0.39416766730918307 0.7765733891217264,1.8502478799619861
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.3584622573597418 0.26022179959770414 -0.20551238995384952,0.3303600228798324
