,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.0652674306627783 1.235775699351878 -0.5066333283137957,0.5786012066170418
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.3332247570743787 -23.125724280627672 -3.029076425956119,24.36083966175446
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3828612867667105 1.28866691532782 -1.3412966142024034,2.965118679755414
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.028092662038754095 0.48370389940883457 0.05599445960625288,1.4779417095300134
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-1.0002374835912877 2.0080192907967382 -1.7013308917958239,3.554153399770045
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.270422358065801 -2.3037814833216834 -1.3351447321292873,4.735772708550837
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,6.534427620412169 -0.9858274703255454 -3.2957531186482854,8.173051060501248
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.6479013601913203 -0.05050277032404067 4.879922929560451,3.949372904658398
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5880032155914237 0.7423210964555321 0.7367950469341378,0.030012885486258602
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,3.240766651933381 -2.0911976367284297 5.4009367523714475,5.393147779873456
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.2582537510832823 -1.136094666073122 0.4854112187940444,2.62683611885178
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.8000360729737325 -0.3111104651438284 0.3546612117346886,1.8446215323042328
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.1473311686310944 -0.3361301073825416 -0.3188919237925502,0.7995853535255447
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.23872754736294696 1.1607068596276713 0.6135216039872987,2.0265629483094356
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.7079699792708132 0.9264471560403382 -0.410185677783805,2.513803643018002
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.47643951416530417 -0.020237515990043347 0.13700738062033155,0.24948719568164066
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-3.1739362929589015 4.801074309048896 -6.410676564003607,9.616202728674281
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3924136288218828 0.7786894566787466 0.6826022727714934,0.2194200810090532
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.09616604843500243 0.40080474776878383 0.7896494998579804,1.8649935738797556
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.35880047304369955 0.2604673236162714 -0.20570629464563492,0.32990611273424286
