,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.043143769008337 1.2101108919370567 -0.49611147810430944,0.5440449289899265
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.274702242913296 -22.11060997261844 -2.896113722486662,23.335384089834804
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.373804250842889 1.2802268044810887 -1.3325118056785237,2.949938488256937
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.02824232656281465 0.4862808468619237 0.056292771818012545,1.4805399422699317
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9774574505352531 1.9622874055475785 -1.662583719659054,3.4900312006674614
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-1.759999175409203 -1.7858586956584417 -1.0349852393108718,3.9492212646570213
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,6.23181491453561 -0.9401732928439924 -3.1431250956490264,7.831072861629028
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.6179820121861114 -0.04817060982339604 4.654573638234676,3.7222746443549424
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5451385972113176 0.6882069187242693 0.6830837105438803,0.09268277415063733
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,3.038291326183747 -1.9605446252100442 5.063499181037152,4.978539759155465
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.296790670207095 -1.1708901818629713 0.5002780553636577,2.680818984722158
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.7224280982743578 -0.28093100958772166 0.3202570901244634,1.7546511223992882
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.029178712164362672 -0.06657005265226393 -0.0631560568095489,1.1851817905711075
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.21345647080584118 1.037837453754651 0.5485758044971817,1.8854010436392852
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.5969602666703437 0.8662326125883112 -0.3835256107122228,2.384745389292578
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.4270453252295899 -0.018139420305950033 0.12280333531606237,0.29816876142200466
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-3.045393174376412 4.6066327679251815 -6.151046791475162,9.267294037697098
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.36565353587319577 0.7255878294456511 0.6360531752766116,0.29481585121688486
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.06051163587419133 0.2522028444376008 0.49687996731964434,1.5348638643888008
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.28818430280433843 0.20920427841945757 -0.16522086663385213,0.4249966072724203
