,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.0233361104974996 1.1871327905287332 -0.48669110189774034,0.5132131496839375
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.251741014505071 -21.71233126192428 -2.843945987591782,22.933048020938593
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3636617741619554 1.2707751882826461 -1.3226741814988987,2.9329390262347554
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.030619882835914537 0.5272179869156456 0.06103173099931159,1.5218153271457757
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.973590876025915 1.9545250927654407 -1.656006958873657,3.4791474040761434
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-1.9008074298170865 -1.9287358339368381 -1.1177889513361383,4.166198842363144
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,6.140861561814915 -0.9264514615163065 -3.097251177795172,7.728287932115663
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.5989670874647671 -0.04668842991927083 4.511355283014442,3.577960625576266
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.559089075031843 0.7058186149143914 0.7005643002549231,0.06639277938454073
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.9987782215756944 -1.9350476611114822 4.997648164349291,4.897629644876926
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.2397153299450059 -1.1193560699398064 0.4782594359430095,2.600867699501663
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.674422932482382 -0.262263214517763 0.29897608687416904,1.699005760106909
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.09516696027951266 -0.21711957405373808 -0.20598475751598705,0.9694013073584334
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.2044881025543316 0.9942327392414658 0.5255274058704009,1.8353080746900308
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.5633392611050425 0.8479957083293223 -0.3754511977407115,2.3456584133725085
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.41506335859335985 -0.017630467471049904 0.11935773977937375,0.3101120466304252
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-3.003969015354291 4.543972258293573 -6.067378796621015,9.154855147948947
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.37295706935543643 0.7400806607374576 0.6487576487914779,0.274231783525397
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.033608685843894676 0.14007564074556925 0.2759714306598837,1.2858075828161704
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.3349325950444988 0.24314069567145724 -0.19202244216177358,0.3619808432999355
