,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.0334054157515642 1.1988138035627913 -0.4914799891647625,0.5288727942801946
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.2958715796929 -22.47780705845951 -2.9442102933401295,23.706321909681666
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3744338763344945 1.2808135426795209 -1.3331225065117795,2.950993782242025
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.026273254778853977 0.4523770573668671 0.05236800632883615,1.4463561796622912
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9799167764113895 1.9672246068449208 -1.666766853319513,3.4969538147017394
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-1.6247818450840872 -1.6486546284413741 -0.955469326496322,3.740863521247845
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,6.252953369238824 -0.9433623815503338 -3.153786645834983,7.854961099944831
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.6267895476967198 -0.048857141709795764 4.720911042555675,3.7891239074103553
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.569976086041376 0.719562855992378 0.7142062252904404,0.04764679438724101
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,3.111685661798838 -2.0079044254276766 5.185815351009754,5.128828391853164
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.3235562781229697 -1.195057218409653 0.5106037359738067,2.718313074515061
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.7340183950498319 -0.2854381346321834 0.3253951443167889,1.7680868586167235
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,0.025961260179676596 0.059229565970734074 0.056192021550481704,1.3659706362307988
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.2226900052575424 1.082731421355314 0.5723056711583886,1.9369771124935475
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.6052358318803501 0.8707214935092221 -0.38551306855159306,2.394366386356381
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.5111250225973185 -0.021710837388973604 0.14698172261856038,0.21606703661121973
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-3.084574863523283 4.665901191669381 -6.230185473908435,9.37364613411192
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3823138727798124 0.7586479164075817 0.6650337789109396,0.24786722704697173
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.06465130006793997 0.2694563043647218 0.5308720447042423,1.5731909751162723
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.26983348995875567 0.19588270426565232 -0.15470003960656833,0.4497844391103491
