,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9847622543900443 1.1423847463890264 -0.468345660609388,0.4535408978190643
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.1614000583710633 -20.14530362332277 -2.6386920279185815,21.350056846750267
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3490857772786824 1.2571920435947832 -1.3085362954684991,2.908508691010876
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.0330291178149671 0.5687005759402196 0.06583383236408895,1.563640865160407
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9489132317251135 1.9049836722324776 -1.6140320886308845,3.409683737244757
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-1.5482219552463063 -1.5709698505643253 -0.9104475122747642,3.6228938832719804
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,5.703654511311875 -0.8604914806819456 -2.876738137649276,7.234208153156411
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.5450434159084986 -0.042485174660119834 4.1052080244320255,3.1687898527300673
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5433944147993588 0.68600498620735 0.6808981698393308,0.0960570353179607
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.732518867060064 -1.7632361755212609 4.553910589905833,4.35242395753154
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.1918971046871485 -1.0761803348309191 0.4598120417007901,2.533885619161546
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.545161771525977 -0.21199735617877435 0.24167377073656096,1.5492025652873456
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.03361349712289567 -0.07668783531957367 -0.07275495648687348,1.1706571325569146
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.17178310013928377 0.8352191647017335 0.44147667204544083,1.6526528452087357
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.4102879127769603 0.7649766927098401 -0.3386944210926337,2.1677266865266756
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.34066933270600364 -0.01447046448284958 0.09796461364775019,0.3850255583812156
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.8224557526774663 4.269405102007986 -5.700760593955906,8.66216820173993
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3611997914252453 0.7167500022407897 0.6283059008212324,0.30736988619154093
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.01953572690348256 -0.08142179304916076 -0.16041396344910483,0.7940698651205937
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.31449813425921014 0.22830651982677397 -0.18030702502320337,0.3894994247854614
