,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-1.0049070800001894 1.1657539823575105 -0.47792639100008355,0.48463566252913337
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.2009369081561212 -20.831098184369033 -2.7285194474928227,22.042837666226653
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3560707801367207 1.263701259069078 -1.3153113500407383,2.920216017974439
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.030632556347022784 0.527436201434932 0.06105699191637389,1.5220353452042172
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9537601525374709 1.9147140719143936 -1.6222763468629835,3.4233270523396175
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-1.446643845649284 -1.4678992623237304 -0.8507134819758138,3.4663770403587124
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,5.876815775281872 -0.8866157475243331 -2.9640750566435967,7.429894373680303
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.5740286779679787 -0.04474452480585775 4.323521881500651,3.388712037327231
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5206761962241364 0.657324508830516 0.6524311980991255,0.14084089972767996
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.820759370253952 -1.820175891200173 4.700968810362188,4.533107893073368
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.2766021847349367 -1.1526617198844018 0.49248970795741354,2.652538644431457
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.6086644633049306 -0.23669168265308083 0.2698249283850207,1.6227910508955208
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,0.012838682462675968 0.029290935210289245 0.02778877129343857,1.3229161515832544
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.18250416536261724 0.8873455911853922 0.4690294417401414,1.7125256336732133
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.466489726002947 0.7954620119247332 -0.3521918356435746,2.2330643671515533
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.3720309233652905 -0.015802597258512484 0.10698311287077043,0.3533103832822435
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.8919432243063787 4.3745157545369695 -5.841110514290336,8.850780114882651
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3491507273030724 0.6928403352321523 0.607346591688017,0.34133858040844595
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.003852304319093722 0.016055789814285765 0.03163247558132689,1.0104136138499349
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.2700272040786062 0.19602332893628371 -0.15481109914190555,0.4495226531757304
