,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9951813008490121 1.1544714807186403 -0.47330088221236044,0.4696029012216005
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.2195088239213712 -21.153241169691842 -2.770714697716655,22.3682623707742
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3563789457446342 1.263988433803927 -1.3156102531125529,2.9207325239236406
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.028838340082381713 0.49654310193469936 0.05748074947923026,1.490886970592626
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9556311520714612 1.9184701830569544 -1.6254587803929528,3.4285936200381775
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-1.315563133352178 -1.3348925921163637 -0.7736301490507757,3.264406614493026
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,5.890748443787273 -0.8887177231135429 -2.9711022422434996,7.445639426248488
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.5813279567879097 -0.045313490738673905 4.378499259649877,3.444100862753772
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5433415384523103 0.6859382327834284 0.6808319133468963,0.09615953701623822
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.885883328872439 -1.8621989934423941 4.809501888901694,4.666458782637184
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.3012005020913227 -1.1748718798929885 0.5019792876212661,2.6869963811810997
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.6174455526756446 -0.24010638967802522 0.2737176426035085,1.6329677396281441
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,0.06505172866328707 0.14841289011805056 0.1408016449758112,1.4943099843944145
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.19062480730202291 0.9268286123438929 0.4898992128373832,1.7578785806714041
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.4720837698767664 0.7984963662170012 -0.3535352999349755,2.239567777495163
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.4494778547781849 -0.01909227719951009 0.12925414811131447,0.2759359004597445
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.926040049409684 4.426092527324366 -5.909978852347907,8.94333015898539
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3642993522788419 0.7229006432475152 0.6336975771746013,0.2986328418744356
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,0.0066607323613861345 0.02776086984446496 0.05469335657907565,1.036400290892826
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.25258206586673815 0.18335921948956121 -0.14480951048539537,0.47310742093490493
