,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9768346413528697 1.1331882279719467 -0.46457534635495834,0.44135188620767174
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.129724753333501 -19.595873103887424 -2.5667259777345195,20.79502925936395
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3658365961922059 1.2728018710916371 -1.3247836348862938,2.9365841718599075
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.0347763805302531 0.598785221799327 0.06931648670982617,1.593974345247703
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9454361440644785 1.8980032708649168 -1.6081178165229442,3.399896285898514
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-1.9181575296551836 -1.946340857336468 -1.1279918522714907,4.192934665087739
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,5.463755131559365 -0.824298655171826 -2.75574068004315,6.963102929699464
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.4813565194380662 -0.037520893208160176 3.625525212365027,2.6857568512320595
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5639799302436379 0.7119930454398656 0.7066927665622001,0.05766729107176356
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.6061649721796005 -1.6817027006541885 4.343334060349764,4.093701265846342
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.158901600433722 -1.0463882389564283 0.44708298134981506,2.487667721934802
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5866636061851035 -0.22813619731518772 0.2600718048585821,1.5972945240828085
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.8835899844064371 -2.0158748423718906 -1.9124921942126705,1.649487375636995
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.19495050928867738 0.9478604204618793 0.5010161184921315,1.7820379841019425
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.4206296214789242 0.7705863033773664 -0.3411780834782974,2.179749448144092
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.33193300971265793 -0.014099375454724445 0.09545235197762313,0.39388787050472684
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.762069225593615 4.178061049375888 -5.578792646830812,8.498259291985388
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.36961846943975746 0.7334556804527188 0.6429501647416525,0.2836407230280498
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.06705843208855106 -0.2794888465983728 -0.550637758561694,0.35556984183727336
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.8010165283742475 0.5814892872023227 -0.45923613367618954,0.2830975832225912
