,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9563541457268037 1.1094295941520544 -0.45483497378194704,0.4100098699499844
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.1441903644225304 -19.846789336743594 -2.5995917352178872,21.04850158048885
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3581850701437417 1.2656715330275214 -1.3173620908164019,2.9237597079221973
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03442642441883157 0.5927596221077411 0.06861895212524596,1.587898899545572
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.942730223984598 1.8925710212153182 -1.603515244135733,3.392279549329977
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-1.8937081151096011 -1.9215322095938718 -1.1136141278281895,4.155259094987864
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,5.534070255728334 -0.834906865257218 -2.791205345539499,7.042564508300847
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.5500107402014656 -0.04287236884322615 4.142621373446534,3.2064757180362617
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5212914504277943 0.6581012327717258 0.6532021398862459,0.13961452768493302
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.6737012367006168 -1.7252824124719333 4.455887394898497,4.231988234259051
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.1780533304175733 -1.063680600105357 0.4544713675044138,2.514494078475915
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5217425116391012 -0.20289029578129983 0.23129186000779106,1.522067003466539
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.06815548247504881 -0.15549397901274853 -0.1475195854714118,1.0576302781271791
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.18289387968804297 0.8892404043136364 0.47003099418213296,1.7147021011744916
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.4399350599544123 0.78105807324967 -0.3458144731467869,2.2021930500394196
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.30934672823168197 -0.013139987706569952 0.08895732549124237,0.41684693005406886
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.7884864287091187 4.218021194598757 -5.632149781085453,8.56996427146989
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3510204664752943 0.6965505687031955 0.6105989970957505,0.3360669727222723
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.050131691089714686 -0.20894089056821916 -0.4116469943421282,0.5114237463296302
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.30150537853385784 0.21887456930152943 -0.17285806149529698,0.4070189331275924
