,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9595528602705353 1.113140299641141 -0.4563562588123247,0.41488965168527275
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.0100359587983547 -17.519786497174294 -2.2947939542300295,18.697793828600396
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3735614594183068 1.2800005509304393 -1.332276311837698,2.9495315537642828
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03695511121306843 0.6362989513841424 0.07365914555232064,1.631798482839633
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9217506567517544 1.850453647684324 -1.5678305328393811,3.3332253929056836
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.227340337471037 -2.2600664622121958 -1.3098099160576284,4.669382491857457
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,4.828391143640483 -0.7284433929619561 -2.4352837148272135,6.245094578635068
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.3644854357974745 -0.028410998003001713 2.745264858085344,1.8005848082995461
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.0428209377684214 1.3165029738016465 1.3067025509616819,0.9283473162072484
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.3064508036276674 -1.4883035367261366 3.843841982704223,3.480026203646737
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.9862162735933209 -0.8904682756234619 0.380464149578179,2.245797688902351
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5644136239940751 -0.21948383457463919 0.25020824256243,1.5715107677779512
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-1.659599471781103 -3.786309128237364 -3.5921310690647834,4.206467495918349
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.2234536142442656 1.0864441315086 0.5742681200484676,1.9412425156026671
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.648627314913682 0.3518322561432924 -0.15577418691547915,1.2823442777205836
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.23919353914257985 -0.010160120916069748 0.0687837160539573,0.4884991468298074
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.6016760096974254 3.9354412621125996 -5.25483244874747,8.062899504730742
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.38526359605127597 0.7645012258823431 0.6701648132615889,0.23955765663020784
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.104404498506056 -0.4351412933217237 -0.8572979899860723,0.046896458711368355
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.9174029610338658 0.6659787594790324 -0.5259624164102641,0.43958735792579645
