,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9643284451723453 1.118680271672556 -0.4586274917476487,0.4221860533339638
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.0536903766982546 -18.2770031829788 -2.393976456990925,19.462724113301483
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3774837762409837 1.2836556969448574 -1.3360807355528102,2.9561056162919637
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03669414220347824 0.6318055456901754 0.07313898058376685,1.6272678892526777
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9316540349970289 1.8703351007260234 -1.5846754557884084,3.3611018321807875
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.2452069720892553 -2.278195609794142 -1.3203165704722346,4.696915284650948
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,5.027328221314222 -0.7584563715164098 -2.535621117312154,6.469907669547742
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.3922838644357363 -0.030577836573108766 2.954639614263577,2.0108992958183123
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.8200126532613807 1.0352200051561689 1.0275135327935403,0.47415895566369354
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.3942516680917847 -1.5449595629045523 3.9901675182040814,3.6597978957105255
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.0549728057759202 -0.9525494968422219 0.40698915859013196,2.3420973712142596
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.594065964446904 -0.2310147564199415 0.26335331857966493,1.605872868600054
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-1.671241257814456 -3.812869392612336 -3.6173292099541214,4.244862890004596
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.22020006459127411 1.0706251887762595 0.5659066090967343,1.923068774222698
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.0283275020805545 0.5577914725335689 -0.24696289662229426,1.7236947498995496
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.2802167232016808 -0.01190264503230101 0.08058055243200193,0.44654411683672135
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.651976016465814 4.011527877580095 -5.356427769130765,8.199430186831712
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3815002013241475 0.7570333002546491 0.6636183999736849,0.25015956397754063
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.10784872337206124 -0.44949627307958745 -0.8855795975502812,0.05287531466449285
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.0832808167660684 0.7863959951734527 -0.6210629573236501,0.6643088309609703
