,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9577986133540212 1.1111052653880595 -0.45552195192523176,0.4122127178163046
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.024883442184007 -17.777326574506237 -2.3285273226434287,18.95795739999483
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3810912885735371 1.2870174815533975 -1.3395798168588324,2.962152045665124
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.036346658887865126 0.6258225229880295 0.07244637479037126,1.6212353533934447
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9244754992493575 1.8559238848923163 -1.5724652908768475,3.3408953922903732
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.2662896114015196 -2.299588014557334 -1.3327144288342057,4.729404055484776
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,4.910615298484433 -0.7408482790940262 -2.476754908709391,6.338013674682877
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.3718834613656715 -0.028987661070990507 2.8009859860562103,1.8565358797480433
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.8384658221143958 1.0585160963557234 1.0506362012596735,0.5117438169164404
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.338831109401601 -1.5091978577876657 3.8978057518645635,3.54632426623312
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.0013468787072712 -0.9041299076667746 0.3863012595117921,2.266989021911286
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5776868111690646 -0.22464538612893717 0.2560923330504568,1.586891838620039
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-1.6838334832051047 -3.841598045972454 -3.6445845356056,4.286393348519523
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.2276158227884185 1.1066810252469426 0.5849648531668117,1.9644921989343986
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.639768283789311 0.34702688819768585 -0.15364660403617741,1.2720479378631324
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.25791472376466174 -0.010955332610057171 0.07416727554245757,0.46933556106516977
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.6260106821734603 3.9722512545195015 -5.303983313836001,8.128951767055694
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3828549452421684 0.7597215983360119 0.6659749727569513,0.24634291607920078
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.10477455018948766 -0.4366836097010796 -0.8603366000932652,0.04653779510111216
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.9269581528973623 0.67291524768991 -0.5314405672504627,0.452498565996071
