,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9449158847204907 1.0961605082985126 -0.4493950212620949,0.39261245781333765
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-1.0662154541497277 -18.494259490438832 -2.4224333369282482,19.68219357815076
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3704273668719933 1.2770799388541174 -1.32923642073568,2.944278607280029
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03639391436364638 0.6266361752461278 0.0725405646833105,1.6220557389196686
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9289026006287189 1.8648114792065709 -1.5799954669214173,3.3533569806198167
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.2275011623153618 -2.2602296500424677 -1.3099044907269326,4.66963032551465
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,5.087242078716219 -0.7674953769061933 -2.565839721580729,6.537614705106178
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.45492668787589724 -0.03546073437056623 3.4264585812553743,2.4854009552806784
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.7838901217883235 0.9896173341863193 0.9822503410858194,0.4006236981270609
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.4548816523524586 -1.5840827992922024 4.091211112346788,3.7839392710357513
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-1.0714184329714367 -0.9673984804601665 0.41333357992321773,2.3651316649590433
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5332538966154525 -0.20736673435128908 0.2363949320846315,1.5354048491641272
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.9144935570589163 -2.0863800945238755 -1.9793816367303476,1.7511010739135238
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.20920830562404746 1.0171826339744998 0.5376581657699908,1.8616725973948227
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,1.040828246740096 0.5645722002271335 -0.2499650725874511,1.7382263269704337
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.25820699156268884 -0.01096774714340315 0.07425132156353016,0.4690366039461304
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.6752662337611754 4.046757968416192 -5.403469056795282,8.26264746978125
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3642716228635294 0.7228456181368724 0.6336493419439041,0.2987110030188262
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.09264416102844478 -0.3861260829320024 -0.7607301808841574,0.124514255459543
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.6168176218206552 0.4477720827737366 -0.3536318288003088,0.062468586457561384
