,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9490489460540732 1.1009551134961886 -0.45136067473021496,0.3988889934558669
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.9463037063466879 -16.41430560195388 -2.149994765308534,17.581051812113188
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3839165557081476 1.2896503040339862 -1.3423201649169745,2.9668873803271745
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03859855030994807 0.6645959457560171 0.07693485804971996,1.660329708884057
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9104329171795214 1.8277328041225935 -1.5485798845929213,3.3013677525059375
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.508689381535568 -2.5455493441805985 -1.4752600547676717,5.102951186543627
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,4.459859199357792 -0.6728441981324869 -2.249408168375819,5.828628733701084
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.29025604397405347 -0.0226249475995198 2.1861771119205966,1.2405018079498906
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.2509153223388643 1.5792104686326036 1.5674543764293287,1.3528242809720534
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.126703339367125 -1.3723163297344436 3.544281789041044,3.1120066799461696
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.9001173210424163 -0.8127283438622006 0.3472487528756906,2.1252160147796553
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5724352291891159 -0.22260320057291627 0.25376427248987554,1.5808061998793512
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-2.3442251453214005 -5.3482549357816955 -5.073973642781799,6.4648609976532905
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.24520962018320533 1.1922230649009646 0.6301803086813211,2.0627733027151627
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.3279281158133543 0.17787670390474586 -0.07875514094615096,0.9096743611557057
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.19668340940655102 -0.008354436448905227 0.05655928598088188,0.5321035524671035
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.5087161179163555 3.794824908472437 -5.067073229712339,7.810576014458274
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.39523288653920297 0.7842838756767009 0.687506362701165,0.21148191172420747
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.1395644181699793 -0.5816822291489283 -1.1460070866942447,0.3224319235305023
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.1712576249389837 0.8502618077536674 -0.6715015285732369,0.7837846778219341
