,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.7432048078078768 2.1312145257472026 -1.3764023230894675,1.657088446554706
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.4120213056556642 2.185188175858038 -1.141455904024625,1.781520781792617
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.7765429603558313 2.034916749304068 -1.534201992824181,3.276039865231794
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,-0.4172591030113955 2.2213680958569135 -1.2193915973076037,3.4057858999184414
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.6186061156890403 2.223480103814445 -1.5721717800797017,3.5223976040234546
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-0.3123945389533402 1.9460306886661036 -1.2125786752720533,2.378849174637128
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,-0.4633988257514344 1.8415395950286841 -1.2562878690616766,2.424740201986204
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.4357297155419261 1.9294128809251354 -1.589059748683107,3.1793511601880904
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.5399996603166713 1.9666211661298794 -1.11873570279706,2.198549737520866
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,-0.671686771948058 1.8986990444152227 -1.6132526579245827,3.718843243092385
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.23921204315144848 2.0163867475135233 -1.3638412201667771,2.0980083883153737
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.11504329151092516 1.6649722149341277 -1.21621544603051,1.9397414298728743
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.3973210804539122 1.9309042833172014 -1.194328197946251,2.7508926807325533
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.3559981608493369 2.049516154827217 -1.1183155702440346,2.7596603643826225
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.2536488281653514 1.912759213278064 -1.2934132221314185,2.607800184025151
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,-0.678690945959378 1.8189855532671324 -1.3228658270031637,2.776134620104526
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-0.616326475406132 2.0983261397350694 -1.6227596156138253,3.698458140276272
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.5278313148709729 1.9821153210331597 -1.0919356721194875,2.1729817954886244
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.451279510930438 1.8164112275752062 -1.3685275886894241,2.3743944158653427
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,-0.1554377719126082 1.9411586059186234 -1.3542196607430674,1.9133128387894454
