,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9532515285553095 1.1058303675216672 -0.45335939195260305,0.40528258984947046
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.9858759326722237 -17.100713794060294 -2.239902560111503,18.274452163265877
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3879049373372587 1.2933670148135281 -1.3461886677281143,2.9735721718448427
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03839797030359462 0.6611423274736783 0.07653506079846316,1.656847498986093
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9194470241087165 1.8458290071744319 -1.5639122219949624,3.326741032527244
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.533780009531083 -2.5710086266685606 -1.4900148512375968,5.1416171892460865
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,4.638082598663147 -0.6997321725804979 -2.3392982640655897,6.030032874242023
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.31409031233445434 -0.024482786855315526 2.3656942418844418,1.4199985376046174
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.0467844936485244 1.3215067409048946 1.311669068598442,0.9364310023750474
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.2050028885053394 -1.4228413596735938 3.6747727987477767,3.2723169070099813
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.9626376615181921 -0.869178821577409 0.37136795350881985,2.212774925848964
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.6006223389073558 -0.23356433734129492 0.26625980216119544,1.6134709661555429
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-2.373741042205391 -5.415594261745707 -5.137859521291092,6.5622392713353355
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.24271993823953608 1.1801180902458417 0.6237819115278669,2.048865271912709
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.6784364226171435 0.3680014882674791 -0.16293313537234552,1.3169901602140515
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.23424669074747886 -0.009949995767924625 0.06736117505811638,0.4935672446793923
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.5537847758923697 3.8629982919243875 -5.15810233766856,7.932907049652791
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3919840823986094 0.7778370824328229 0.681855078119596,0.22062966456804778
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.14384015685751136 -0.5995028258571296 -1.1811165143049167,0.3616687724488088
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.3350300469533676 0.9691506266071633 -0.7653949892254391,1.006427639110633
