,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9348037989033156 1.0844298671816133 -0.44458578787497927,0.3773068056593795
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.9967857395232598 -17.289952093044185 -2.2646895576292545,18.465618169862868
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.381363818615898 1.2872714480592098 -1.3398441554635685,2.962608824049073
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03813881958743165 0.656680229443606 0.07601852006308893,1.6523484619768674
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9166781799807676 1.840270434822026 -1.5592026203986165,3.318947175733836
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.521438323287599 -2.5584856050643654 -1.4827571983541843,5.122597980423248
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,4.689381373157487 -0.7074714489224041 -2.3651717002475774,6.088003952622195
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.37163600638140715 -0.0289683723906393 2.799122181894125,1.8546641281398435
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.0160425703824145 1.2826967861615397 1.273148026204283,0.8737347740805425
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,2.259782348150442 -1.4581893772430656 3.7660661341367283,3.3844743152153933
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.9768472814990042 -0.8820088834415029 0.3768497642703994,2.2326759744951477
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5434306282612125 -0.2113241655508448 0.2409063436308238,1.5471966513682753
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-1.6680822536061952 -3.8056622521707704 -3.6104916823718667,4.2344442413262255
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.23263895885473637 1.131103797371159 0.5978741404715083,1.9925514245060445
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.685459166480773 0.3718108064399431 -0.16461971592502872,1.3251525057568836
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.21282947874372307 -0.009040266080311483 0.06120233216288408,0.5155285019712728
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.574453731410267 3.894263314965963 -5.199849233797183,7.98900934414215
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.37594055162331863 0.7460009601754832 0.6539474068101889,0.265824396000737
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.13008051515359514 -0.5421548344165279 -1.0681317929137055,0.23584092694907127
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,0.8975750987198582 0.6515849372352907 -0.5145947722910725,0.4128165470768203
