,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9363674072890453 1.0862437490208285 -0.44532942848374985,0.37966853775347276
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.8937694974632092 -15.503062674987701 -2.0306374455161875,16.660526568821435
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.391049329306235 1.2962972247615672 -1.349238548682967,2.978842380846966
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.039942030703269606 0.6877282037147849 0.07961269109067061,1.6836534998496924
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.8991116313725636 1.8050048413438222 -1.529323204460248,3.269500131905528
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.7047368560165355 -2.744477327758947 -1.5905477464478674,5.405072621360411
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,4.133214865483953 -0.623564448464266 -2.0846593725225118,5.459500689402686
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.220502923807048 -0.017187814690678146 1.6608041594532004,0.7198239469053662
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.2892950205167981 1.6276626860314842 1.615545901731425,1.431122173152731
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.9629191558887353 -1.2666298875405353 3.2713253836553444,2.7766896364939737
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.8262835723471124 -0.7460628338275989 0.3187650468573579,2.021819590877989
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5784361962406454 -0.22493679991147428 0.25642454034275425,1.5877602480081014
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-2.058647675305564 -4.69672147850755 -4.455853596281744,5.522732841476266
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.2613556105567543 1.270725784796831 0.6716749498375968,2.1529717838516618
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.026657924442877557 0.014459948702720514 -0.006402161009047762,0.559838474418105
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.15849092189917957 -0.006732150610619803 0.04557645916407801,0.5713664418671858
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.4239860988485433 3.666657522550376 -4.895936603967649,7.580591186363238
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.4016272376570691 0.7969725628987354 0.6986293163535614,0.1934827590440423
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.17466687920865873 -0.7279836865929323 -1.4342443726602194,0.6458840620909208
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.273687552774319 0.924619706267999 -0.7302263143492591,0.9230089927162854
