,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9345583328254449 1.084145111442991 -0.4444690460198918,0.37693621571653513
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.9056130087688494 -15.708496736660654 -2.05754581239589,16.868053255765602
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3976991777346521 1.3024941150380187 -1.3556885225649102,2.9899879668309275
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.03946919821792123 0.6795868991771561 0.0786702385931166,1.675444780745959
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.9014150136731637 1.8096289792806233 -1.5332410894904678,3.275983786919902
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.745969144465227 -2.7863154387631037 -1.6147948089031567,5.468614645009358
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,4.19842561306485 -0.6334025781460295 -2.117549556207119,5.533192647901971
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.2250166248437472 -0.017539649739612896 1.694800867192269,0.75312291125254
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.2543971871064092 1.583606127709662 1.5718173129691253,1.359927498651224
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.9906477964876759 -1.2845225882246787 3.317536866982839,2.833457214968389
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.8375338653478736 -0.7562208785454633 0.32310520354879474,2.0375739328124385
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5908275878376688 -0.2297554471372174 0.2619177250969668,1.602120002577085
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-2.087815221955064 -4.763266057488867 -4.5189854858186935,5.618953182388284
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.2655781520880236 1.2912560209365072 0.6825267366623017,2.176561439103566
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.013045170278692701 0.007076038250928154 -0.003132925096760616,0.5440451288024027
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.17441601059053996 -0.007408593742333784 0.05015595902267444,0.5549861921368063
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.4438856991928137 3.696758775743506 -4.9361295662029185,7.634605164389305
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.39982485630152126 0.7933959915072343 0.6954940796560193,0.19855535946668593
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.17589506480366157 -0.733102568211023 -1.4443293886987258,0.657231384101424
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.2869487087742848 0.934246499070327 -0.7378291562305139,0.9410404530755947
