,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9230920734175005 1.0708435457225534 -0.43901577766685307,0.3596797754756321
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.8569386241861151 -14.864205186104973 -1.9469579838207436,16.01516151027755
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.4039316124045007 1.308302023927966 -1.3617336288969062,3.000433939738254
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.04071959678879498 0.7011164595909222 0.08116254039676625,1.69715263023598
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.8909802528212223 1.7886807530550697 -1.5154923235452356,3.246611594550891
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.9220521842038365 -2.9649856518341133 -1.7183422136796829,5.73997339448854
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,3.896186909875267 -0.5878048252121518 -1.9651101680192906,5.191646032148105
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.16157514275757717 -0.012594497906826985 1.2169664897089736,0.3060338938417075
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.2911431314412547 1.6299958224692404 1.6178616696374815,1.4348925289104562
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.839221306588677 -1.186810302267295 3.065175317258117,2.523458190355034
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.7695458608685848 -0.6948335715897912 0.2968766784287595,1.9423700465884617
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.595669411398707 -0.23163828971282766 0.2640641370765923,1.6077310708698271
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-1.8249169339092617 -4.163474237383319 -3.9499535449493934,4.75172951871706
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.28015893645265805 1.3621486205452678 0.7199988520909538,2.258020542039171
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.2621606553538313 -0.14220272986409305 0.0629604427534887,0.22578999469922176
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.13873768429040503 -0.005893100846531595 0.03989611724640441,0.5917000472229226
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.3653425684635265 3.5779500246248417 -4.777489139630177,7.42141363396281
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.40573153297259684 0.8051169576255255 0.7057687251424857,0.18193452785480282
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.2077425911715518 -0.8658379772319053 -1.7058393880943648,0.9517148193968923
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.3801008761415816 1.0018693076953862 -0.7912348472118713,1.0677330829632379
