,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9142441301910141 1.060579387715081 -0.43480776116645425,0.3464434785344817
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.8832603738113025 -15.32077450885859 -2.0067607971547345,16.4763815578137
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.3970983058084931 1.3019341718398107 -1.355105711050958,2.98898086572309
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.04091179749871445 0.7044258018216065 0.08154563598496764,1.7004893810154655
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.8947397938817039 1.79622819163624 -1.5218870282529684,3.2571941045683235
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-2.891025549614933 -2.933503145505821 -1.7000966887534903,5.69215855695708
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,4.017222998060783 -0.6060651392848482 -2.026156840854155,5.328423322820095
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.22652211858799567 -0.0176570003263868 1.706140083150541,0.7642490314457671
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.2630137793219296 1.5944840923389914 1.5826142989336682,1.3775059523920947
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.9245972497049224 -1.2419015783922327 3.207459572333937,2.698236151037957
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.8198602011389069 -0.7402630833706126 0.31628702806007064,2.0128247138389375
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.559442971532414 -0.21755089423400228 0.24800471989049358,1.565750879743582
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-2.0650212551293516 -4.711262543310649 -4.469648933346789,5.543758443729134
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.26769355883064605 1.3015412483607705 0.6879632593935726,2.188379477567779
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,0.06707117778137461 0.03638114408448768 -0.01610779864512451,0.6067359788932881
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.13575583040534053 -0.005766441923657222 0.039038640110191265,0.5947709281610649
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.4017507645331926 3.6330231069600676 -4.851025955664964,7.520237274685345
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.39323880672966655 0.7803269057617577 0.6840376671460087,0.21709649774147752
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.19733276833050023 -0.8224514963893921 -1.6203610770498749,0.8554200926058101
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.2514231192039744 0.9084570814679097 -0.7174617432959159,0.8927386253975382
