,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.711614989225166 2.0486730612580013 -1.3077468709625055,1.5505228461103517
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.3944954750851771 2.1021160634328666 -1.0826664760376972,1.6806022948800776
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-0.7428952073043991 1.9550465440944325 -1.4585266094981244,3.1616304216741606
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,-0.39890447290410036 2.136255026260823 -1.1568298233597434,3.3037215537238453
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.5918264970868276 2.1366176793705622 -1.4938584032653686,3.4030553169262023
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-0.29616830457257737 1.8729945067585858 -1.1485464793107447,2.2886281535597925
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,-0.44503183797125456 1.7712747730985583 -1.1912498421058002,2.331187561442619
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.4173593780945191 1.8562201936454175 -1.5084722256485577,3.0698597824433334
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-0.518630301997936 1.8921391765563476 -1.0571282257363839,2.106947901287263
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,-0.6421291207907582 1.8245443080520678 -1.5331276651885233,3.606339396608569
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.22848530674244802 1.9389795913667998 -1.2954560641417658,2.000929291060289
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.11033412430762563 1.6010469723291723 -1.1553742180134041,1.8621863433446249
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-0.37880432337219405 1.8597442912063953 -1.1284940512377564,2.6741908773625958
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,-0.3399079551168164 1.9721452614950725 -1.0583977139694136,2.6676774914317076
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.2423168696124409 1.8392630425783134 -1.227842582111866,2.5116953048561017
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,-0.6488229908613233 1.7495890905547569 -1.2559119465576947,2.677588570203257
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-0.5895634994986855 2.015665676427389 -1.5422537510900396,3.5802385693795324
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.5064812592784586 1.9072389316674392 -1.031583227243097,2.083952048679753
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.43129114399405255 1.749868567386538 -1.2948892977517588,2.291809118654223
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,-0.1486189029801811 1.8658856349130029 -1.286602123623257,1.8182289159588858
