,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.9191454786390888 1.066265253190587 -0.4371388063162425,0.3537666394950457
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.829263997938584 -14.384169263599132 -1.8840814451735794,15.530235883870692
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.4076567869851802 1.3117734561546692 -1.365346835875938,3.0066775788318463
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.04226825679272176 0.7277815325457209 0.08424933864728704,1.7240385734265546
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.886951385717992 1.780592630988002 -1.508639514913174,3.235270974810477
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-3.0687684713248253 -3.1138576290546807 -1.8046202038392027,5.966077403871191
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,3.6991699618084337 -0.5580815302570942 -1.8657412165614007,4.969007075606925
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.12040898316140203 -0.009385668243937368 0.9069074306015822,0.1871146656012966
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.317517836399938 1.663292408924008 1.6509103868258073,1.488700373044566
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.738948585866015 -1.1221064531091136 2.8980646669778154,2.3181960707612026
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.7460499656752242 -0.6736188037571436 0.2878123930152274,1.9094704640240228
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.6133061874959692 -0.23849671247726834 0.27188263500818965,1.6281704680814426
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-1.5457112561502855 -3.526477766650564 -3.3456249664033106,3.830880158017626
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.2890471970481858 1.4053638470968248 0.742841376791024,2.307678448644481
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.2010332042917455 -0.10904561710462748 0.0482800881515871,0.29615737793492697
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.12222199775375941 -0.005191571144576724 0.03514678205430444,0.6087132176327645
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.3115920166270856 3.496643920878643 -4.668924451761505,7.27551725891832
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.41111621940457604 0.8158021077939631 0.7151353702502663,0.16679081425147466
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.240129200824819 -1.0008201993821417 -1.9717759689458014,1.251428799666706
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.5932603298745107 1.156610108191935 -0.9134427167392567,1.3577851414681847
