,original position,computed position,offset
0,-0.740323978468548 0.7611065534381061 -0.44434118521145116,-0.904064158799781 1.0487699951594893 -0.42996624190131466,0.331312150928797
1,0.05483025859207924 0.993675136159611 0.09796435930296266,-0.8367831575696937 -14.514594393741962 -1.9011649182044699,15.661989534032406
2,0.38557998897974266 -0.36033437390778644 0.37490237990348296,-1.403215092413571 1.3076343100977228 -1.3610386453529748,2.999233004821136
3,-0.07684391548256664 -0.9810065389552678 -0.11110833275177345,0.042062198902309375 0.7242335951890214 0.0838386228452271,1.7204612447338306
4,0.26956625755571717 -0.5228633344389313 0.4467468501274625,-0.8848923219293888 1.7764589728554843 -1.5051371978242851,3.2294750380235153
5,0.7918994951613632 0.7817285834327583 0.5435132043400641,-3.0553061627703015 -3.1001975199298326 -1.7967035577204673,5.945330616527424
6,-0.6811272275115059 0.07720323072144386 0.3926744057579181,3.730622975652323 -0.5628267423664114 -1.8816050954638266,5.004550476440851
7,-0.006203725935318927 0.11560457140427438 0.9865723369135326,-0.1646605187135295 -0.012834997530443714 1.2402052075121284,0.32547643707921003
8,-0.5761739762340059 0.7660341111951292 0.7227047906058859,-1.2984269056625557 1.6391911790981195 1.6269885734144334,1.4497522957897344
9,0.6553230760746365 -0.4218370381344063 0.972081405505111,1.7797797943855158 -1.1484539615635732 2.966112384824193,2.401777385864967
10,0.668704012379401 0.4951625094534928 -0.2399175345503315,-0.754370805745216 -0.6811318050199064 0.29102242049679666,1.9211214142027315
11,0.835165424436636 0.2522885243525461 -0.28668599449744936,-0.5657151014897355 -0.21998994084000317 0.25078519602896654,1.5730189055603432
12,-0.3209172937012186 -0.8072505879693426 -0.9411861367877952,-1.8093814664176018 -4.1280306961100885 -3.916327699437799,4.700486510765778
13,-0.1937497235766812 -0.5864815701384414 -0.317742796960504,0.28183171736351864 1.3702817760999477 0.7242978416247849,2.26736613554407
14,-0.43644261482475044 -0.27810068127910026 0.10920616807438543,-0.20420161701286332 -0.11076424623175932 0.049041013422689,0.2925016399839092
15,0.6794768871172749 0.004211576477306744 0.2799126914781669,0.10280036402497757 -0.004366606775641908 0.029561797842384767,0.6287328267698266
16,0.35232496968990135 -0.5806566186339426 0.7359176352305428,-2.3270385279226944 3.520009181457534 -4.700123120801603,7.317444079569124
17,-0.4824043532607254 0.9327445413506201 0.8103280428875261,-0.3993294181468847 0.792412864421129 0.694632266544717,0.19994983635296434
18,-0.07355803547111495 -0.46987569176054533 -0.850871861836535,-0.22728857486493306 -0.947302518945018 -1.866337573253161,1.1325811516710937
19,0.5591916268218364 0.4622855317186403 -0.37289134058346685,1.3440552633188787 0.9757023848360225 -0.7705692962746343,1.0187028759177148
